nom;pays;vague;familleOrigine;natureEntite;verticale;siteWeb;siren;confiance;segmentCible
DOXALLIA;France;V1 (déc. 2025 – janv. 2026);ged;extension_demat;generaliste;https://www.doxallia.com;397775305;qualifiee;eti|grands_comptes
ESI;France;V1 (déc. 2025 – janv. 2026);ged;extension_demat;generaliste;https://www.esi-groupe.com/;102061702;qualifiee;eti|grands_comptes|public
Insiders Technologies GmbH;;;ged;diversification;generaliste;https://insiders-technologies.com/;;qualifiee;eti|grands_comptes
OPENTEXT;Pays-Bas;V1 (déc. 2025 – janv. 2026);ged|edi;extension_demat;generaliste;https://www.opentext.fr;;qualifiee;grands_comptes
SRCI;France;V1 (déc. 2025 – janv. 2026);ged|edi;extension_demat;generaliste;https://solutions.srci.fr/;339144727;qualifiee;public
SYMTRAX;France;V1 (déc. 2025 – janv. 2026);ged|edi|tax;extension_demat;generaliste;https://www.symtrax.com/fr/;352073910;qualifiee;eti|grands_comptes
PARAGON;France;V1 (déc. 2025 – janv. 2026);ged|s2p|o2c;extension_demat;generaliste;https://www.paragon.world/fr;320496789;qualifiee;eti|grands_comptes
TESSI Technologies;France;V1 (déc. 2025 – janv. 2026);ged|s2p|o2c;extension_demat;generaliste;https://www.tessi.eu/fr/digital-invoice-by-tessi/;382105823;qualifiee;eti|grands_comptes
ACCENTURE;France;V1 (déc. 2025 – janv. 2026);integrateur;diversification;generaliste;https://www.accenture.com/us-en/products/ecomply-verify;732075312;qualifiee;grands_comptes
CBS Corporate Business Solutions;Allemagne;V2 (févr. – avr. 2026);integrateur|edi;diversification;generaliste;https://e-world.cloud/;;qualifiee;eti|grands_comptes
NTT DATA Business Solutions;Allemagne;V3 (mai – août 2026);integrateur|edi;extension_demat;generaliste;https://nttdata-solutions.com/fr/;;qualifiee;eti|grands_comptes
BC SOLUTIONS;France;V1 (déc. 2025 – janv. 2026);o2c|s2p;extension_demat;generaliste;https://bcsolutions.fr/;;qualifiee;eti|grands_comptes|public
ESKER;France;V1 (déc. 2025 – janv. 2026);o2c|s2p;extension_demat;generaliste;https://www.esker.fr;331518498;qualifiee;eti|grands_comptes
DOKAPI;Belgique;V3 (mai – août 2026);pure_player;extension_demat;generaliste;https://www.dokapi.io/;;qualifiee;eti|grands_comptes
BASWARE;Finlande;V1 (déc. 2025 – janv. 2026);s2p;extension_demat;generaliste;https://www.basware.com/en/compliance/e-invoicing-mandate-france/why-basware/;;qualifiee;eti|grands_comptes
DIGITAL TECHNOLOGIES;Italie;V1 (déc. 2025 – janv. 2026);s2p;extension_demat;generaliste;https://www.digtechs.com/en/;;qualifiee;grands_comptes
GEP;France;V3 (mai – août 2026);s2p;;generaliste;https://www.gep.com/software/e-invoicing;;qualifiee;eti|grands_comptes
TRADESHIFT BABELWAY;Belgique;V1 (déc. 2025 – janv. 2026);s2p|edi;extension_demat;generaliste;https://tradeshift.com/;;qualifiee;eti|grands_comptes
TUNGSTEN AUTOMATION FRANCE;France;V1 (déc. 2025 – janv. 2026);s2p|ged|edi;extension_demat;generaliste;https://www.tungstenautomation.fr/products/einvoice-network;411088859;qualifiee;eti|grands_comptes
CEGEDIM;France;V1 (déc. 2025 – janv. 2026);s2p|o2c;extension_demat;generaliste;https://www.cegedim-business-services.com/;350422622;qualifiee;eti|grands_comptes
AVALARA;France;V1 (déc. 2025 – janv. 2026);tax;diversification;generaliste;https://www.avalara.com/fr/fr/products/e-invoicing.html;814232740;qualifiee;eti|grands_comptes
CLEARTAX;France;V2 (févr. – avr. 2026);tax;extension_demat;generaliste;https://www.cleartax.com/fr;491096350;qualifiee;grands_comptes
EEZI powered by VAT IT;France;V1 (déc. 2025 – janv. 2026);tax;extension_demat;generaliste;https://eezi.io/;;partielle;eti|grands_comptes
Fonoa Technologies Limited;Irlande;V2 (févr. – avr. 2026);tax;extension_demat;generaliste;https://www.fonoa.com/;;qualifiee;eti|grands_comptes
MAROSA;Espagne;V1 (déc. 2025 – janv. 2026);tax;extension_demat;generaliste;https://marosavat.com/;;qualifiee;eti|grands_comptes
SNI;Slovénie;V2 (févr. – avr. 2026);tax;extension_demat;generaliste;https://snitechnology.net/;;qualifiee;eti|grands_comptes
SOVOS;Portugal;V1 (déc. 2025 – janv. 2026);tax;extension_demat;generaliste;https://www.saphety.com/fr;;qualifiee;eti|grands_comptes
TAXERA;France;V3 (mai – août 2026);tax;extension_demat;generaliste;https://taxera.tech/;919179663;qualifiee;eti|grands_comptes
Taxilla Europe BV;;;tax;extension_demat;generaliste;https://www.taxilla.com/;;qualifiee;eti|grands_comptes
